pop,lat,lon,rad,th,ele
Abkhasian,43.003,41.015,0.483557879924774,2.25628519058228,1408.94604492188
Adygei,44,39,0.337623596191406,1.45920991897583,-784.519165039062
Albanian,41.3,19.8,0.285708606243134,2.73156523704529,242.975112915039
Aleut,55.197007,166.002148,-0.229933753609657,-0.209190979599953,-504.790618896484
Altaian,50.84,85.654,0.0468254312872887,0.403620362281799,1581.53662109375
Ami,22.843145,121.185356,1.58259809017181,4.70191049575806,-493.982421875
Armenian,39.815,46.752,0.577228039503098,1.01008623838425,1563.14331054688
Atayal,24.611712,121.296444,1.3550306558609,4.14912939071655,625.527465820312
Australian,-13,143,2.45553088188171,5.80272674560547,153.019424438477
Balochi,30.5,66.5,1.58351027965546,1.43921780586243,1671.40051269531
BantuHerero,-22,19,2.43168830871582,3.90467476844788,1474.66882324219
BantuKenya,-3,37,2.15507221221924,3.51894330978394,1461.43200683594
BantuTswana,-28,24,1.77474677562714,3.87543272972107,1234.29333496094
Basque,43,0,0.402020245790482,2.81759667396545,1305.50036621094
BedouinB,31,35,1.31031382083893,1.57318615913391,200.092163085938
Bengali,23.7,90.4,2.33573055267334,4.47035551071167,8.02787780761719
Bergamo,46,10,0.23856620490551,2.43141674995422,846.345886230469
Biaka,4,17,2.487708568573,5.19446659088135,530.947692871094
Bougainville,-6,155,2.94125723838806,7.78875255584717,58.8035850524902
Brahmin,17.7,83.3,2.56215715408325,4.68726110458374,20.2092151641846
Brahui,30.5,66.5,1.58351027965546,1.43921780586243,1671.40051269531
Bulgarian,42.163,24.741,0.327263444662094,1.67054378986359,553.256958007812
Burmese,17,96.7,1.81785416603088,5.22283506393433,0.0387639030814171
Burusho,36.5,74,0.584644198417664,0.723594427108765,3854.43115234375
Cambodian,12,105,2.61881685256958,4.76781606674194,14.4697704315186
Chane,-22.53,-63.82,1.67664229869843,4.58388805389404,416.278747558594
Chechen,43.333,45.65,0.266801774501801,1.29444015026093,435.801544189453
Chukchi,69,169,-0.866843402385712,-1.77195632457733,169.536544799805
Czech,50.1,14.4,-0.0733795836567879,1.89026856422424,305.735809326172
Dai,21,100,2.15611934661865,4.54381895065308,773.314880371094
Daur,48.5,124,0.395973682403564,0.111930564045906,200.902282714844
Dinka,8.783333333,27.4,2.30509495735168,3.81662607192993,452.305908203125
Druze,32,35,1.13646399974823,1.7615008354187,252.70686340332
Dusun,4.7,114.7,2.6358323097229,8.04777431488037,33.4380798339844
English,51.2,0.7,-0.0367144532501698,2.22892642021179,25.6537818908691
Esan,6.5,6,1.96360683441162,4.37303400039673,138.919326782227
Eskimo_Chaplin,64.48,172.86,-0.700073599815369,-1.12087249755859,376.539215087891
Eskimo_Naukan,66.02,169.71,-0.771963000297546,-1.27432346343994,424.744476318359
Eskimo_Sireniki,64.4,173.9,-0.709855437278748,-1.07633697986603,216.112594604492
Estonian,58.386,24.502,-0.482779264450073,-0.337389826774597,49.2868204116821
Even,57.53,135.88,-0.314987301826477,-1.12785863876343,463.793426513672
Finnish,60.2,24.9,-0.564243078231812,-0.457745581865311,37.7205200195312
French,46,2,0.126560926437378,3.39044713973999,700.096374511719
Gambian,13.4,16.7,3.00413274765015,2.99941945075989,294.918853759766
Georgian,42.5,41.85,0.519322395324707,2.57104587554932,-7.99595737457275
Greek,38,23.7,0.405906707048416,1.8132209777832,-60.8165626525879
Han,3.226566812,114,1.6732360124588,5.48688805103302,231.526023864746
Hawaiian,21.3,-157.8,1.93315732479095,4.29119157791138,-634.886779785156
Hazara,33.5,70,1.36927962303162,1.55676758289337,1073.36547851562
Hezhen,47.5,133.5,0.476289361715317,0.16669400036335,85.0516815185547
Hungarian,47.5,19.1,-0.0178082250058651,1.72680068016052,126.688659667969
Icelandic,64.1,-21.9,-0.439840584993362,1.56261610984802,169.564514160156
Igorot,17.1,121,1.89587795734406,5.96889591217041,672.331665039062
Iranian,35.586,51.46,0.88568389415741,1.16403651237488,1777.0361328125
Iraqi_Jew,33.3,44.4,1.12119889259338,1.51353704929352,37.5013465881348
Irula,13.5,80,2.47929096221924,4.16525220870972,-98.1002502441406
Itelman,57,157,-0.229452267289162,-0.83290296792984,131.484024047852
Japanese,37.85,139,0.684438824653625,3.03642773628235,244.963516235352
Jordanian,32.055,35.914,1.1060688495636,1.7667076587677,511.113922119141
Ju_hoan_North,-18.93725689,21.45244764,2.66166281700134,4.04980421066284,1037.00521850586
Kalash,36,71.5,0.723763346672058,1.01067054271698,3106.63525390625
Kapu,17.7,83.3,2.56215715408325,4.68726110458374,20.2092151641846
Karitiana,-10,-63,1.88728761672974,4.4926872253418,187.100143432617
Khomani_San,-27,20.8,1.88961005210876,3.25873374938965,868.804504394531
Khonda_Dora,18.3,82.9,2.4630401134491,4.7523775100708,807.731994628906
Kinh,21,105.9,1.48473489284515,4.36346197128296,77.8202056884766
Korean,37.6,127,0.99054491519928,2.28607630729675,215.348297119141
Kusunda,28.07245287,82.48778,1.86657404899597,6.80366826057434,1639.76715087891
Kyrgyz,42.9,74.6,0.428709983825684,0.461074858903885,1886.83666992188
Lahu,22,100,2.05039763450623,4.21516609191895,1275.24633789062
Lezgin,42.117,48.183,0.27250400185585,0.920639038085938,112.281204223633
Luhya,1.3,36.8,2.72549557685852,3.5352509021759,1547.88427734375
Luo,-0.1,34.3,2.92173075675964,3.56781435012817,937.621398925781
Madiga,17.7,83.3,2.56215715408325,4.68726110458374,20.2092151641846
Makrani,26,64,2.0589439868927,2.31737947463989,411.468811035156
Mala,17.7,83.3,2.56215715408325,4.68726110458374,20.2092151641846
Mandenka,12,-12,2.67868185043335,4.15502262115479,612.560729980469
Mansi,63.8,61.45,-0.645799815654755,-1.82896953821182,64.7038841247559
Maori,-41.3,174.5,0.319635570049286,3.00876474380493,-80.4110336303711
Masai,-1.5,35.2,2.73864030838013,3.17417073249817,1797.96545410156
Mayan,19,-91,2.20196676254272,3.01540660858154,54.5330619812012
Mbuti,1,29,2.3912615776062,6.66923999786377,989.768676757812
Mende,8.5,-13.2,2.05454015731812,6.33077669143677,12.8817625045776
Miao,28,109,0.850277245044708,3.02832579612732,545.999267578125
Mixe,16.95,-96.58,2.37979698181152,3.51096773147583,1852.05334472656
Mixtec,17,-97,2.37979698181152,3.51096773147583,1852.05334472656
Mongola,45,111,0.659113168716431,-0.271503239870071,1008.95947265625
Mozabite,32,3,1.50652480125427,1.4614554643631,516.647521972656
Naxi,26,100,1.91458559036255,3.97141242027283,2193.60180664062
North_Ossetian,43.017,44.65,0.322239309549332,1.31489050388336,693.7822265625
Orcadian,59,-3,-0.253633797168732,1.18246960639954,-34.4733848571777
Oroqen,50.4,126.5,0.19788758456707,-0.147611349821091,430.105072021484
Palestinian,32,35,1.13646399974823,1.7615008354187,252.70686340332
Papuan,-4,143,2.33745813369751,8.18405818939209,43.2470169067383
Pathan,33.5,70.5,1.37177288532257,1.88419628143311,829.888916015625
